phrase,df_total,df_Belek,df_Algarve,prev_Belek,prev_Algarve,logodds_B_vs_A,z_B_vs_A,lift_Belek,with_B,without_B,lift_Algarve,with_A,without_A
near town,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,0.2956,1,2517,-0.1588,10,2635
new course,15,14,1,0.00556,0.000378,2.3690481464340003,2.5922724044603003,0.0098,14,2504,-0.2583,1,2644
next year,206,144,62,0.057188,0.02344,0.7829097317269671,5.296445843224667,0.1514,144,2374,0.2641,62,2583
nice people,13,11,2,0.004369,0.000756,1.579582766846313,2.1694974507384535,0.2055,11,2507,0.7423,2,2643
nice restaurant,12,2,10,0.000794,0.003781,-1.5425596772931414,-2.0934080639484334,-0.7051,2,2516,0.4435,10,2635
night club,13,12,1,0.004766,0.000378,2.2468909460397253,2.40678341677753,0.0457,12,2506,0.7421,1,2644
number of year,9,1,8,0.000397,0.003025,-1.9578504570533575,-1.9912079162178047,0.2956,1,2517,0.6186,8,2637
old town,42,1,41,0.000397,0.015501,-3.1396451331691573,-4.188448416277236,0.2956,1,2517,0.2084,41,2604
only area,22,20,2,0.007943,0.000756,2.097876329536354,3.102960486159278,-0.1054,20,2498,-0.2584,2,2643
other guest,49,17,32,0.006751,0.012098,-0.6308329101691301,-2.152985540168896,-0.1763,17,2501,-0.2614,32,2613
other hotel,93,74,19,0.029388,0.007183,1.2662389648897703,5.126072544642329,-0.1133,74,2444,0.005,19,2626
other review,61,16,45,0.006354,0.017013,-1.011373337246508,-3.584641201015446,-0.3316,16,2502,-0.0366,45,2600
outstanding service,11,10,1,0.003971,0.000378,2.0977021925884305,2.1939422753730566,0.2967,10,2508,0.7421,1,2644
part of the resort,15,2,13,0.000794,0.004915,-1.7771111997709887,-2.4916981164915164,-1.2055,2,2516,-0.3368,13,2632
peak season,20,5,15,0.001986,0.005671,-1.071535780064302,-2.144025933894071,0.2961,5,2513,0.2096,15,2630
personal assistant,25,25,0,0.009929,0.0,3.8862698058520913,2.7510365328875523,-0.1864,25,2493,,0,0
pier bar,21,21,0,0.00834,0.0,3.886192169007491,2.521316260427804,-0.2303,21,2497,,0,0
pillow menu,13,12,1,0.004766,0.000378,2.2468909460397253,2.40678341677753,0.1294,12,2506,-0.2583,1,2644
pinhal golf course,18,0,18,0.0,0.006805,-3.935015921708324,-2.363611810951353,,0,0,0.5231,18,2627
pitch mark,18,3,15,0.001191,0.005671,-1.5426397888388923,-2.5640239435728995,-0.3716,3,2515,-0.5949,15,2630
plastic cup,16,2,14,0.000794,0.005293,-1.8421949237933788,-2.606531363741781,-0.7051,2,2516,-0.5468,14,2631
plenty of lounger,16,0,16,0.0,0.006049,-3.9349760999989165,-2.228412034766153,,0,0,0.1175,16,2629
plenty of pool,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,0.2957,2,2516,0.1592,12,2633
plenty of room,32,9,23,0.003574,0.008696,-0.9208633917652937,-2.411191884577055,-0.038,9,2509,0.3974,23,2622
pool bar,130,47,83,0.018666,0.03138,-0.5703807950542865,-3.1979280281751823,-0.1542,47,2471,-0.3537,83,2562
pool party,13,12,1,0.004766,0.000378,2.2468909460397253,2.40678341677753,0.0457,12,2506,0.7421,1,2644
pool staff,14,2,12,0.000794,0.004537,-1.7062078349771799,-2.3688393427670924,0.2957,2,2516,0.0755,12,2633
pool table,22,6,16,0.002383,0.006049,-0.9609021384714165,-2.0683251251357113,-0.205,6,2512,-0.134,16,2629
pool towel,22,6,16,0.002383,0.006049,-0.9609021384714165,-2.0683251251357113,0.1291,6,2512,0.1175,16,2629
pool view,19,5,14,0.001986,0.005293,-1.0067839455668377,-1.9934104460726332,-0.1047,5,2513,0.1713,14,2631
poor condition,19,5,14,0.001986,0.005293,-1.0067839455668377,-1.9934104460726332,-0.3051,5,2513,-1.7676,14,2631
previous reviewer,11,1,10,0.000397,0.003781,-2.1465806765845166,-2.245063246106674,-1.7052,1,2517,0.0419,10,2635
previous visit,20,15,5,0.005957,0.00189,1.022652796684028,2.046216429028885,0.096,15,2503,0.3424,5,2640
private transfer,15,12,3,0.004766,0.001134,1.289932850860163,2.082503662498944,-0.1218,12,2506,-0.2585,3,2642
quality of food,45,34,11,0.013503,0.004159,1.050843213538455,3.132604691119936,0.0014,34,2484,-0.3506,11,2634
quality of service,15,12,3,0.004766,0.001134,1.289932850860163,2.082503662498944,-0.8754,12,2506,0.0752,3,2642
reasonable price,21,2,19,0.000794,0.007183,-2.1039332260474453,-3.0916817225972015,0.2957,2,2516,0.27,19,2626
reception staff,113,29,84,0.011517,0.031758,-1.0395469956551437,-4.982849152618733,-0.2941,29,2489,-0.1929,84,2561
rental car,10,1,9,0.000397,0.003403,-2.0582549952428835,-2.124179589085122,0.2956,1,2517,-0.0361,9,2636
resort course,43,0,43,0.0,0.016257,-3.935513697446871,-3.6536678280511152,,0,0,-0.3334,43,2602
room card,13,11,2,0.004369,0.000756,1.579582766846313,2.1694974507384535,-0.4337,11,2507,-1.2592,2,2643
